job_id,building_type,issue_category,issue_type,job_description,parts_used,labor_hours,technician_count,final_invoice_amount,quote_range_low,quote_range_high,confidence,notes
HVAC-001,Commercial Office,Airflow,Weak Airflow,"Tenant reported weak airflow from rooftop unit serving third floor offices.","Filter replacement; belt adjustment",2.0,1,385,320,460,82,"Simple airflow issue with low parts cost."
HVAC-002,Retail Store,Noise,Rattling Unit,"Customer reported rattling noise from ceiling-mounted HVAC unit during startup.","Loose panel secured; mounting screws",1.5,1,295,250,360,88,"Minor mechanical vibration issue."
HVAC-003,Restaurant,Cooling,Insufficient Cooling,"Kitchen area AC unable to maintain temperature during afternoon peak hours.","Condenser coil cleaning; refrigerant top-up",3.5,1,625,540,720,74,"Higher uncertainty due to kitchen heat load."
HVAC-004,Commercial Office,Fan Motor,Fan Motor Failure,"Rooftop unit fan not spinning. Technician found failed condenser fan motor.","Condenser fan motor; capacitor",4.0,1,890,780,1020,78,"Parts-driven repair with moderate labor."
HVAC-005,Warehouse,Refrigerant,Low Refrigerant,"Warehouse cooling system blowing warm air. Leak suspected but not confirmed.","Refrigerant recharge; leak dye",3.0,1,575,480,690,68,"Human review recommended due to possible leak."
HVAC-006,Medical Clinic,Thermostat,Thermostat Malfunction,"Clinic rooms overheating due to unresponsive thermostat controls.","Commercial thermostat replacement",2.0,1,445,380,530,84,"Straightforward control replacement."
HVAC-007,Commercial Office,Belt,Worn Belt,"Preventive maintenance found worn belt on rooftop air handler.","Drive belt replacement",1.25,1,245,200,310,90,"Routine low-risk service."
HVAC-008,School,Airflow,Blocked Return Air,"Classroom wing had uneven airflow caused by blocked return grille and dirty filters.","Filter replacement; grille clearing",2.5,1,420,350,520,80,"Common airflow restriction pattern."
HVAC-009,Retail Store,Electrical,Capacitor Failure,"AC compressor was humming but not starting. Failed capacitor found.","Run capacitor replacement",1.75,1,365,300,450,86,"Common electrical failure."
HVAC-010,Restaurant,Noise,Blower Rattling,"Restaurant reported loud rattling from blower assembly during operation.","Blower wheel cleaning; bracket tightening",2.75,1,510,430,620,76,"Noise issue with moderate inspection time."
HVAC-011,Commercial Office,Cooling,Commercial AC Not Cooling,"Large office suite reported commercial AC running continuously with poor cooling.","Coil cleaning; filter replacement; refrigerant check",4.5,2,980,820,1150,70,"Two technicians needed due to rooftop access."
HVAC-012,Condo Common Area,Fan Motor,Blower Motor Issue,"Common area air handler had intermittent blower operation.","Blower motor; capacitor",4.25,1,940,800,1100,75,"Motor replacement with diagnosis time."
HVAC-013,Warehouse,Belt,Loose Belt Causing Noise,"Warehouse HVAC unit making squealing noise on startup.","Belt tightening; pulley alignment",1.75,1,310,260,390,87,"Low-complexity belt alignment."
HVAC-014,Medical Clinic,Refrigerant,Refrigerant Leak Suspected,"Clinic AC cooling dropped over several days. Refrigerant level low and leak suspected.","Refrigerant; leak test",4.0,1,720,600,880,62,"Requires human review because leak repair scope is uncertain."
HVAC-015,Retail Store,Airflow,Weak Airflow And Dust,"Retail floor had weak airflow and visible dust around vents.","Filter replacement; vent cleaning",3.0,1,490,410,590,79,"Airflow issue likely maintenance-related."
HVAC-016,Commercial Office,Electrical,Contactor Failure,"Rooftop unit failed to start. Technician identified failed contactor.","Contactor replacement",2.25,1,455,380,560,83,"Standard electrical component replacement."
HVAC-017,Restaurant,Cooling,Frozen Evaporator Coil,"Restaurant AC stopped cooling. Evaporator coil found frozen due to restricted airflow.","Filter replacement; coil thaw; system test",4.0,1,690,580,830,72,"Could indicate deeper airflow or refrigerant issue."
HVAC-018,School,Thermostat,Zone Control Issue,"Several classrooms were too cold due to incorrect zone thermostat readings.","Thermostat recalibration; sensor check",2.5,1,430,360,530,81,"Control issue with limited parts."
HVAC-019,Warehouse,Fan Motor,Exhaust Fan Motor Failure,"Warehouse exhaust fan stopped working. Failed motor confirmed.","Exhaust fan motor replacement",5.0,2,1180,980,1380,73,"Higher quote due to labor and two-person work."
HVAC-020,Commercial Office,Preventive Maintenance,Quarterly HVAC Service,"Scheduled quarterly maintenance for rooftop commercial HVAC system.","Filters; belt inspection; coil cleaning",3.5,1,560,470,670,85,"Good baseline for routine commercial service."